Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	KRAS interactome	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 34	LFQ intensity 35	LFQ intensity 36
+	1.54202590098499	-0.653413772583008	C9K0J5;Q70E73;Q70E73-9;Q70E73-6;C9J164;Q70E73-5;Q70E73-2;Q70E73-8;Q70E73-7;Q70E73-4;Q70E73-3;Q7Z5R6	C9K0J5	Ras-associated and pleckstrin homology domains-containing protein 1	RAPH1	629	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 9	15	15	15	16.7	16.7	16.7	141.18	0	126.82	4537200000	159	25.1852550506592	25.2667083740234	24.7027683258057	24.4227809906006	24.2405261993408	24.5311832427979
+	1.12581463646262	-1.79742813110352	D3DQV9;P78344;H0Y3P2;P78344-2;H0YCH5;H0YEC5;H0YD77;H0YD99;H0YEN8;H0YDC0;H0YCF8;H0YEI7	D3DQV9	Eukaryotic translation initiation factor 4 gamma 2	EIF4G2	699	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	16	16	12	22.9	22.9	17.5	102.33	0	122.56	2578300000	82	23.6991176605225	23.6178455352783	23.1553764343262	23.0263957977295	21.5488147735596	20.5048446655273
	0.423472519367616	0.326728820800781	E9PCH4;Q8TEU7;Q8TEU7-4;Q8TEU7-5;Q8TEU7-3;D6RE77;B7Z7Y1;Q8TEU7-2;Q8TEU7-6	E9PCH4	Rap guanine nucleotide exchange factor 6	RAPGEF6	806	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 9	15	15	14	13.7	13.7	13.7	185.19	0	88.061	2697800000	129	23.0828914642334	22.9778156280518	23.6151523590088	23.8413410186768	23.0257530212402	23.7889518737793
+	1.74592689391449	-0.765612284342446	Q05682-5;E9PGZ1	Q05682-5		CALD1	830	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	25	25	0	49.4	49.4	0	61.212	0	323.31	14633000000	312	26.2564697265625	26.2542533874512	25.8802623748779	25.2601528167725	25.1677169799805	25.6662788391113
	0.716350037370027	-0.305426279703777	E9PHY5;O43491-4;E9PK52;O43491-3;E9PII3;O43491-2;E9PRG1;E9PIG0;E9PQD2;E9PJP4;E9PQN0	E9PHY5	Band 4.1-like protein 2	EPB41L2	839	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	63	2	0	67.3	1.4	0	104.36	0	104.61	9218100000	89	25.5458068847656	25.2840099334717	25.3246765136719	24.9939918518066	24.8243961334229	25.4198265075684
+	2.77493974745175	-0.916681289672852	E9PKC0;Q6IQ23;E9PL74	E9PKC0	Pleckstrin homology domain-containing family A member 7	PLEKHA7	853	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	28	28	0	29.8	29.8	0	144.42	0	148.5	9753400000	347	25.910816192627	25.8866729736328	25.824275970459	24.8574733734131	24.8195323944092	25.1947154998779
	1.06478727137991	0.719053268432617	F1T0I1	F1T0I1		SEC16A	891	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	56	56	0	36.8	36.8	0	249.48	0	323.31	37245000000	890	26.5984668731689	26.6757297515869	27.4584980010986	27.4037322998047	27.5496597290039	27.9364624023438
+	1.23407556647	-2.26136843363444	H0YAH0;A0A087X2C4;A0A087X0C9	H0YAH0		PCDH7	1071	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	12	4	4	17.6	7.9	7.9	102.42	0	63.235	1050700000	26	23.3555507659912	23.2321910858154	22.8863048553467	19.8074607849121	20.3129081726074	22.5695724487305
+	3.19877594996603	1.58055369059245	H7C155;P04049;P04049-2;H7C4S5	H7C155	RAF proto-oncogene serine/threonine-protein kinase	RAF1	1167	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 1	14	14	10	37.2	37.2	29	59.741	0	133.15	6291900000	152	23.4717197418213	23.157413482666	23.6715240478516	25.0166530609131	24.9009952545166	25.1246700286865
	0.20138975028598	0.447181065877277	H7C3M7	H7C3M7		FARP2	1178	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	6	2	2	17.6	5	5	51.593	0	22.68	2240700000	42	20.9730663299561	23.6152648925781	23.4571361541748	23.1095180511475	23.1738052368164	23.103687286377
+	2.00284293192232	-0.745421727498375	J3KN01;P55196;P55196-5;Q5TIG5;P55196-6	J3KN01	Afadin	MLLT4	1207	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	114	114	0	60	60	0	207.62	0	323.31	237000000000	2561	30.240930557251	30.6616134643555	30.4897975921631	29.9194011688232	29.5601043701172	29.676570892334
	0.177830828141213	-0.111134847005211	J3QRG6;P42771;P42771-4;K7ES20;K7ENC6;P42771-2;P42772;G3XAG3;P42771-3	J3QRG6	Cyclin-dependent kinase inhibitor 2A	CDKN2A	1252	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	6	6	6	57.2	57.2	57.2	14.968	0	46.336	4084100000	112	23.5945720672607	23.398717880249	24.0520858764648	23.3218231201172	23.5943431854248	23.795804977417
	0.424786442130576	-0.918158849080406	O00443;A0A0C4DGF9;O00443-2	O00443	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	PIK3C2A	1352	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 2	12	12	12	9	9	9	190.68	0	15.177	2589000000	38	23.5074863433838	23.1825752258301	23.5791130065918	23.2493495941162	20.6856594085693	23.5796890258789
	1.50907833824791	-0.32281812032064	O14936-3;O14936-4;Q5JS72;O14936-5	O14936-3	Peripheral plasma membrane protein CASK	CASK	1397	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	52	52	1	54.6	54.6	1.8	102.11	0	323.31	48898000000	879	27.6920547485352	27.8101711273193	28.0122261047363	27.5669593811035	27.4558353424072	27.5232028961182
	0.640351645227766	-0.229540506998699	O43491;Q6R5J7;E9PN54	O43491	Band 4.1-like protein 2	EPB41L2	1466	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	69	69	0	69.3	69.3	0	112.59	0	323.31	190000000000	1760	29.7512855529785	29.4577350616455	29.7694969177246	29.2838764190674	29.3244647979736	29.6815547943115
+	1.73163510727573	-0.717680613199867	O43707;O43707-2;F5GXS2;O43707-3;K7EJH8;Q08043;A0A087WSZ2;F6THM6;K7EP19	O43707	Alpha-actinin-4	ACTN4	1474	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	102	102	41	82.8	82.8	35.6	104.85	0	323.31	489000000000	3117	31.5601501464844	31.41286277771	30.98752784729	30.5828895568848	30.4842376708984	30.7403717041016
+	2.57181874886322	-0.917298634847008	O60245;O60245-2	O60245	Protocadherin-7	PCDH7	1495	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	22	22	14	21.4	21.4	12.9	116.07	0	323.31	17296000000	400	26.942907333374	26.929988861084	26.7335033416748	25.7193412780762	26.0112018585205	26.1239604949951
	0.0539662136127904	0.0192502339680978	O94887;O94887-3;O94887-2;C9JWM9;C9JVQ5;H7C3E4	O94887	FERM, RhoGEF and pleckstrin domain-containing protein 2	FARP2	1625	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	17	17	13	21.9	21.9	16.1	119.89	0	182.37	7551500000	185	25.0905914306641	25.1341819763184	24.964506149292	25.2282104492188	25.1564197540283	24.8624000549316
	0.429520332430207	0.868763605753582	O95197-7;O95197-2;O95197;O95197-4	O95197-7	Reticulon-3	RTN3	1642	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	3	3	1	3.4	3.4	2	100.82	0	16.9	2081100000	67	23.0349655151367	20.9850044250488	23.8897609710693	23.4825916290283	23.3946685791016	23.6387615203857
	0.255972720639305	-0.146568298339844	P01889;F6U0H7;Q31610;P30486	P01889	HLA class I histocompatibility antigen, B-7 alpha chain;HLA class I histocompatibility antigen, B-81 alpha chain;HLA class I histocompatibility antigen, B-48 alpha chain	HLA-B	1721	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	18	15	3	57.7	44.8	9.4	40.46	0	125.98	12351000000	217	25.3865337371826	25.7957305908203	26.1607341766357	25.6716594696045	25.5498065948486	25.681827545166
+	1.29240167015278	1.44209988911946	Q5JP53;P07437;A6NNZ2;Q9H4B7	Q5JP53	Tubulin beta chain	TUBB	1786	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	35	8	4	68.3	21.4	10.1	47.766	0	323.31	194000000000	513	28.0647106170654	27.4340419769287	29.0323352813721	29.6321125030518	30.0280208587646	29.1972541809082
+	3.18992897756552	1.5665111541748	Q96II5;P10398;P10398-2	Q96II5	Serine/threonine-protein kinase A-Raf	ARAF	1833	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 1	12	9	8	22.2	16.9	15.4	67.925	0	68.758	3223700000	96	22.3089981079102	22.4787712097168	22.8182945251465	24.0307788848877	24.0475997924805	24.2272186279297
+	2.08960498842345	-0.632394154866539	P17301	P17301	Integrin alpha-2	ITGA2	1925	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	23	23	3	24.8	24.8	4.5	129.29	0	144.47	12256000000	255	26.1444683074951	26.129846572876	25.9481086730957	25.4946041107178	25.6056613922119	25.2249755859375
	0.731763629406668	-1.84251022338867	P24666;G5E9R5;P24666-4;F2Z2Q9;P24666-3	P24666	Low molecular weight phosphotyrosine protein phosphatase	ACP1	2005	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	6	6	3	41.1	41.1	19.6	18.042	0	10.893	2902600000	40	24.1304550170898	24.2549381256104	24.2386322021484	23.7312774658203	20.0737056732178	23.2915115356445
	0.133581104967002	-0.0609245300292969	P27635;X1WI28;B8A6G2;A6QRI9	P27635	60S ribosomal protein L10	RPL10	2038	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	19	19	2	61.2	61.2	13.6	24.604	0	125.54	36774000000	428	27.3118991851807	26.9228630065918	26.8570938110352	27.1191177368164	26.9816341400146	26.8083305358887
+	1.60119011477838	-1.66116778055827	P30101	P30101	Protein disulfide-isomerase A3	PDIA3	2068	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	20	20	14	44	44	32.5	56.782	0	277.86	8084700000	183	24.9388980865479	25.9592304229736	24.9912261962891	24.2264099121094	23.0461025238037	23.6333389282227
	1.06873989672017	-0.511728922526043	P31946-2	P31946-2	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	YWHAB	2095	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	13	8	1	61.1	47.5	3.7	27.85	0	323.31	7449200000	129	24.7916374206543	25.4553508758545	25.3552131652832	24.7667350769043	24.510929107666	24.7893505096436
	0.592481574274376	0.918926874796547	P35580;P35580-3;P35580-5;P35580-4;E7ERA5	P35580	Myosin-10	MYH10	2125	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	201	172	3	76	69.4	0.7	229	0	323.31	358000000000	3395	29.1196632385254	28.6809349060059	30.9118518829346	30.3814392089844	30.3549995422363	30.7327919006348
	0.234522321950493	0.0933812459309884	P42166	P42166	Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin	TMPO	2185	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	47	47	33	75.4	75.4	54.3	75.491	0	323.31	44374000000	833	27.1039962768555	26.9593639373779	27.3668632507324	27.2024707794189	27.081111907959	27.4267845153809
	0.282120861571415	-0.187115351359051	P42167;G5E972;P42167-2;P42167-3;H0YJH7	P42167	Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin	TMPO	2186	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	26	12	12	60.6	28.4	28.4	50.67	0	91.863	12112000000	176	25.3266315460205	25.4527454376221	25.1378211975098	25.3020458221436	24.6222648620605	25.4315414428711
	0.400383779004206	-0.414648691813152	P46013	P46013	Antigen KI-67	MKI67	2218	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	101	101	9	42.7	42.7	5.5	358.69	0	323.31	42271000000	899	26.3930473327637	26.1678314208984	27.3808822631836	25.8361968994141	26.2251777648926	26.6364402770996
	0.623841132857102	0.257377624511719	P46939;P46939-2;P46939-4;Q5T097;P46939-3;A0A0D9SG57;A0A0A0MSM3;Q5JT45;Q5SYY2;Q5T098;Q4G0X0;REV__Q5VTR2	P46939	Utrophin	UTRN	2234	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	137	137	128	45.4	45.4	42.1	394.46	0	323.31	88493000000	1984	28.3452396392822	28.3186378479004	28.7816295623779	28.5920639038086	28.6731376647949	28.9524383544922
+	2.42935646981798	0.785292307535808	P58107	P58107	Epiplakin	EPPK1	2397	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	62	62	2	51.3	51.3	0.6	555.61	0	323.31	22765000000	620	25.9825267791748	25.7348480224609	25.9720439910889	26.5381298065186	26.8765449523926	26.6306209564209
	0.138846657663764	0.120396296183269	Q06787-8;Q06787-5;Q06787-9;Q06787-3;Q06787	Q06787-8	Fragile X mental retardation protein 1	FMR1	2619	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	11	10	2	24.2	22.9	3.4	66.245	0	100.86	2497500000	76	23.1910820007324	22.2771644592285	22.9060249328613	22.7835674285889	23.2542171478271	22.6976757049561
	0.251389548116574	0.216033299763996	Q13009;Q13009-2;A0A1B0GW57;H7C079	Q13009	T-lymphoma invasion and metastasis-inducing protein 1	TIAM1	2678	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 6	12	12	12	9.6	9.6	9.6	177.51	0	27.546	8382000000	111	25.0034599304199	24.76491355896	24.8423004150391	25.4375228881836	25.4015522003174	24.41969871521
+	2.91212629962627	0.714714050292969	Q13085;Q13085-4;Q13085-2;Q59FY4;A0A0C4DGT1;A0A087WWN5;S4R3S7;A0A087X2F8;A0A087X126;A0A087WYK6;A0A087WYS8	Q13085	Acetyl-CoA carboxylase 1;Biotin carboxylase	ACACA	2688	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	187	187	7	72.8	72.8	3.7	265.55	0	323.31	581000000000	5134	31.0068473815918	31.0697765350342	31.1937808990479	31.9353675842285	31.7055740356445	31.7736053466797
+	1.23752800717084	-1.51078224182129	Q13492;Q13492-5;Q13492-2;Q13492-3;Q13492-4;H0YCY1;E9PJT1;E9PKP6;E9PK13;E9PLJ8;E9PI56;E5RK51;E5RHK9;E5RFC6;E5RFU0;E5RIJ5;O60641-3;O60641-4;E5RGY9;E9PDG8;O60641	Q13492	Phosphatidylinositol-binding clathrin assembly protein	PICALM	2733	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	8	8	6	17.2	17.2	14.7	70.754	0	131.37	2032400000	86	22.9593410491943	23.5780773162842	22.9279384613037	22.3568935394287	20.6018695831299	21.9742469787598
	1.16581686882983	-0.786264419555664	Q14247;H0YCD9;H0YEV2	Q14247	Src substrate cortactin	CTTN	2789	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	75	75	7	79.6	79.6	8.7	61.585	0	323.31	258000000000	2163	30.8440093994141	30.9737758636475	29.9964466094971	29.8963279724121	29.6552810668945	29.903829574585
+	2.85676422494126	1.4549674987793	Q15154;A6NNN6;Q15154-2;H0YBA1	Q15154	Pericentriolar material 1 protein	PCM1	2862	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	34	34	1	20	20	1.3	228.53	0	323.31	11713000000	336	24.4604530334473	24.7162303924561	24.9010410308838	26.1266994476318	25.9287033081055	26.3872241973877
	0.759061426404627	-1.04104296366374	Q2M2I8;Q2M2I8-2;E9PG46	Q2M2I8	AP2-associated protein kinase 1	AAK1	2945	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	6	6	6	10.3	10.3	10.3	103.88	0	64.125	1640800000	48	22.5089130401611	22.6802234649658	23.0939083099365	21.9044456481934	20.5897884368896	22.6656818389893
+	1.82540363036342	1.05708503723145	Q32MZ4-3;Q32MZ4-2;Q32MZ4;C9JTC6	Q32MZ4-3	Leucine-rich repeat flightless-interacting protein 1	LRRFIP1	2952	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	18	18	15	34.2	34.2	27.5	82.688	0	323.31	7454500000	191	23.8135261535645	24.1425037384033	24.4801902770996	25.0697689056396	24.9934310913086	25.5442752838135
	1.2505259602214	-0.410162607828777	Q5SYE7-2;Q5SYE7;E9PAK2	Q5SYE7-2	NHS-like protein 1	NHSL1	3027	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	16	16	15	15.1	15.1	14	170.47	0	323.31	6439100000	196	25.084888458252	25.1559181213379	24.9620361328125	24.7387180328369	24.3790149688721	24.854621887207
+	1.78831514362509	0.805791854858395	Q60FE5;A0A087WWY3	Q60FE5		FLNA	3077	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	203	203	2	71.6	71.6	0.6	278.22	0	323.31	939000000000	6134	31.1319160461426	31.1530952453613	31.6770324707031	32.1658782958984	31.9457988739014	32.2677421569824
	0.0315247194480475	0.0115547180175781	Q7Z460	Q7Z460	CLIP-associating protein 1	CLASP1	3212	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	24	24	1	21.5	21.5	1.4	169.45	0	151.34	4891500000	157	23.8857650756836	23.8400936126709	24.0493469238281	24.0696449279785	24.0129928588867	23.7272319793701
	0.682873788414505	-0.81648890177409	Q7Z7K6;Q7Z7K6-2	Q7Z7K6	Centromere protein V	CENPV	3231	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	7	7	1	37.8	37.8	8.7	29.946	0	122.14	2200000000	46	22.6818103790283	21.4314517974854	22.9354400634766	21.4167156219482	21.1134815216064	22.0690383911133
+	2.0646046315356	-0.809430440266926	S4R3V8;Q86X29-6;Q86X29-5;Q86X29-4;Q86X29;Q86X29-2;M0R1W9;M0QZL9	S4R3V8	Lipolysis-stimulated lipoprotein receptor	LSR	3268	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	30	30	2	46.4	46.4	4.3	66.175	0	323.31	94544000000	876	29.2778167724609	29.4053344726563	29.2436351776123	28.1784515380859	28.6360950469971	28.6839485168457
+	2.43290554313799	-1.3866933186849	Q8NC51;Q8NC51-3	Q8NC51	Plasminogen activator inhibitor 1 RNA-binding protein	SERBP1	3385	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	18	18	1	46.8	46.8	3.7	44.965	0	323.31	19170000000	288	26.5761451721191	26.6469135284424	25.984375	25.1344566345215	24.8426361083984	25.0702610015869
	0.857469551582074	-1.56291325887044	Q96L92-3;Q96L92;A0A0C4DFU6;Q96L92-2;H7C603;C9JSM2;O60759-2;O60759	Q96L92-3	Sorting nexin-27	SNX27	3671	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 6	11	11	11	31.4	31.4	31.4	59.81	0	19.53	3109800000	105	23.9353504180908	24.099889755249	23.881290435791	23.1742172241211	20.7222862243652	23.3312873840332
	0.650164248401299	-1.18955167134603	Q96P48-3;Q96P48;E7EU13;Q96P48-7;Q96P48-2;Q96P48-4;Q96P48-1;A0A0A0MSJ2;Q96P48-5;F5GWN4;F8WBT0;H0YGD1;F5GWQ2	Q96P48-3	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	ARAP1	3686	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 7	9	9	9	8.5	8.5	8.5	160.99	0	13.514	2775300000	51	23.5056705474854	23.3446216583252	23.7867603302002	22.7115631103516	20.797191619873	23.559642791748
	0.411965193324023	-0.153619130452476	Q9BZL4-3;Q9BZL4-4;K7EL81;Q9BZL4-5	Q9BZL4-3	Protein phosphatase 1 regulatory subunit 12C	PPP1R12C	3867	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	17	17	1	28.3	28.3	1.8	84.681	0	112.11	2910200000	78	23.4171237945557	23.25364112854	23.4307136535645	23.0294818878174	23.1049842834473	23.5061550140381
	1.06329081997397	-0.783144632975262	Q9UJU6-2;B4DDD6;Q9UJU6-6;Q9UJU6-4	Q9UJU6-2	Drebrin-like protein	DBNL	4238	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	26	26	0	64.5	64.5	0	48.294	0	323.31	41094000000	493	27.9500465393066	27.9264316558838	27.4700298309326	26.7402114868164	26.642650604248	27.6142120361328
+	2.60984716526254	-1.07520612080892	Q9UQB8-2;Q9UQB8;Q9UQB8-3;Q9UQB8-5;Q9UQB8-4;Q9UQB8-6;I3L3C6;I3L3C5	Q9UQB8-2	Brain-specific angiogenesis inhibitor 1-associated protein 2	BAIAP2	4312	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	32	32	2	65.4	65.4	5.1	59.013	0	323.31	27681000000	554	27.6451263427734	27.6697292327881	27.1957302093506	26.4707584381104	26.4585914611816	26.3556175231934
+	1.66863069108875	-0.583400726318359	Q9Y2J2-2;Q9Y2J2;A0A0A0MRA8;A8K968;A0A0A0MSA4;Q9Y2J2-3;A0A1B0GTF8;A0A0J9YY18;A0A0J9YW31;A0A0J9YW26;J3KT37;A0A0J9YWE1;A0A0J9YWS4;A0A0J9YWN0;J3QS83;J3QS55;J3QR33;J3KS70;J3QKK4;J3KRD1;J3QKY2;J3QRQ6;J3QLU5	Q9Y2J2-2	Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed	EPB41L3	4342	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	57	51	5	69.8	67.3	6.4	96.513	0	323.31	117000000000	1445	29.0458831787109	29.0470542907715	29.2334537506104	28.4706115722656	28.3037376403809	28.8018398284912
	1.21209440872943	0.253497441609703	Q9Y4G8;H0Y8N8;H0Y8H7	Q9Y4G8	Rap guanine nucleotide exchange factor 2	RAPGEF2	4394	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 9	13	12	12	14.9	14.1	14.1	167.41	0	33.689	1809400000	89	22.915994644165	23.0071182250977	23.005542755127	23.3396015167236	23.3059120178223	23.0436344146729
